OrderID,CustomerID,ItemName,Quantity,Price,Date,Status
1,1818,Phone,4,627.1,2024-04-20,Completed
2,1771,Laptop,3,1806.55,2024-07-01,Completed
3,1733,Mouse,3,268.58,2024-11-23,Cancelled
4,1449,Headphones,1,994.15,2024-05-04,Shipped
5,1861,Monitor,3,447.73,2024-02-25,Completed
6,1230,Mouse,4,228.31,2024-04-02,Completed
7,1329,Tablet,1,821.94,2024-07-11,Cancelled
8,1571,Tablet,2,1480.11,2024-08-10,Pending
9,1185,Monitor,4,773.53,2024-09-09,Completed
10,1134,Keyboard,1,748.04,2024-07-01,Completed
11,1850,Mouse,1,415.43,2024-06-28,Shipped
12,1428,Headphones,4,1492.53,2024-08-07,Completed
13,1799,Phone,3,1879.9,2024-11-24,Completed
14,1812,Tablet,2,742.35,2024-07-05,Pending
15,1801,Keyboard,2,1041.1,2024-05-20,Cancelled
16,1699,Tablet,4,1025.99,2024-06-13,Pending
17,1678,Laptop,1,1573.06,2024-03-26,Pending
18,1840,Tablet,3,386.33,2024-05-31,Pending
19,1280,Headphones,3,897.32,2024-03-25,Shipped
20,1040,Headphones,1,1857.43,2024-06-29,Shipped
21,1489,Tablet,4,411.2,2024-08-23,Cancelled
22,1417,Tablet,2,1457.8,2024-03-01,Cancelled
23,1062,Tablet,3,671.3,2024-06-21,Shipped
24,1587,Monitor,2,84.74,2024-05-05,Cancelled
25,1188,Keyboard,3,1916.01,2024-12-12,Cancelled
26,1162,Laptop,3,1175.57,2024-09-25,Shipped
27,1235,Headphones,3,340.07,2024-06-26,Cancelled
28,1776,Laptop,4,75.55,2024-03-10,Completed
29,1847,Mouse,2,1381.44,2024-05-11,Completed
30,1244,Laptop,2,1135.01,2024-07-21,Shipped
31,1207,Laptop,1,1581.84,2024-01-12,Pending
32,1069,Headphones,2,718.39,2024-08-10,Cancelled
33,1549,Laptop,1,519.38,2024-06-29,Shipped
34,1669,Monitor,3,672.06,2024-10-07,Cancelled
35,1704,Laptop,1,1940.09,2024-07-05,Shipped
36,1183,Mouse,2,1229.17,2024-06-27,Completed
37,1353,Headphones,2,369.93,2024-04-17,Shipped
38,1875,Monitor,4,877.1,2024-05-08,Completed
39,1144,Tablet,3,905.43,2024-07-16,Pending
40,1506,Monitor,3,1070.17,2024-07-27,Shipped
41,1168,Laptop,4,1108.56,2024-01-01,Completed
42,1647,Phone,1,1523.48,2024-08-15,Shipped
43,1412,Tablet,1,56.11,2024-05-28,Cancelled
44,1709,Mouse,3,831.7,2024-01-30,Cancelled
45,1602,Tablet,3,1178.83,2024-08-03,Completed
46,1214,Phone,3,859.49,2024-11-05,Completed
47,1147,Headphones,1,206.64,2024-01-27,Shipped
48,1983,Monitor,3,173.74,2024-10-22,Completed
49,1639,Headphones,3,1871.51,2024-10-15,Pending
50,1563,Mouse,4,1997.74,2024-09-18,Pending
51,1193,Headphones,3,1069.18,2024-01-08,Shipped
52,1419,Mouse,1,635.18,2024-02-24,Cancelled
53,1992,Tablet,1,511.02,2024-09-26,Completed
54,1494,Monitor,2,598.46,2024-02-14,Cancelled
55,1234,Phone,1,1997.85,2024-08-06,Completed
56,1415,Tablet,3,173.99,2024-02-11,Shipped
57,1885,Headphones,3,1043.22,2024-06-30,Shipped
58,1867,Keyboard,2,577.74,2024-03-16,Pending
59,1348,Monitor,3,1198.25,2024-12-07,Cancelled
60,1140,Mouse,2,1094.0,2024-10-23,Completed
61,1126,Keyboard,4,1137.19,2024-09-05,Completed
62,1531,Keyboard,1,972.55,2024-02-13,Cancelled
63,1059,Tablet,3,1810.56,2024-03-25,Cancelled
64,1680,Mouse,1,109.08,2024-01-24,Pending
65,1383,Phone,4,1475.4,2024-06-27,Shipped
66,1240,Monitor,4,1843.1,2024-02-07,Cancelled
67,1108,Tablet,2,1928.47,2024-09-18,Cancelled
68,1256,Headphones,3,611.03,2024-10-13,Cancelled
69,1031,Keyboard,3,1071.6,2024-04-01,Cancelled
70,1329,Phone,1,1874.93,2024-11-19,Shipped
71,1477,Monitor,1,394.34,2024-06-20,Pending
72,1000,Headphones,2,780.92,2024-05-19,Cancelled
73,1471,Laptop,2,1151.24,2024-10-03,Pending
74,1426,Laptop,2,1628.68,2024-03-06,Completed
75,1111,Phone,4,1286.54,2024-07-13,Completed
76,1337,Mouse,3,1980.29,2024-05-31,Shipped
77,1239,Tablet,4,993.93,2024-12-07,Pending
78,1782,Mouse,4,1342.28,2024-06-04,Cancelled
79,1640,Headphones,3,1909.61,2024-08-01,Completed
80,1405,Laptop,2,627.3,2024-04-29,Cancelled
81,1146,Phone,2,847.12,2024-02-23,Completed
82,1340,Monitor,2,1252.36,2024-01-03,Pending
83,1088,Mouse,4,1116.35,2024-06-27,Completed
84,1932,Headphones,3,1798.28,2024-02-21,Shipped
85,1367,Monitor,4,281.47,2024-01-06,Pending
86,1416,Mouse,2,478.6,2024-08-20,Pending
87,1380,Tablet,3,1897.46,2024-10-30,Pending
88,1334,Headphones,3,1151.69,2024-11-11,Pending
89,1512,Laptop,4,960.37,2024-08-14,Completed
90,1197,Headphones,4,1972.86,2024-12-12,Pending
91,1601,Mouse,4,1139.92,2024-08-29,Cancelled
92,1816,Headphones,4,1295.54,2024-12-12,Pending
93,1416,Phone,1,409.76,2024-11-20,Pending
94,1169,Headphones,1,718.92,2024-12-24,Shipped
95,1271,Keyboard,3,440.5,2024-09-09,Pending
96,1250,Monitor,4,157.12,2024-08-03,Shipped
97,1111,Laptop,3,659.25,2024-02-28,Completed
98,1823,Tablet,2,1855.87,2024-10-18,Completed
99,1068,Keyboard,3,1402.04,2024-08-07,Completed
100,1233,Keyboard,3,492.2,2024-09-05,Shipped
101,1175,Laptop,4,951.73,2024-03-19,Completed
102,1908,Headphones,2,525.86,2024-01-01,Shipped
103,1602,Tablet,1,768.73,2024-12-08,Cancelled
104,1427,Mouse,2,551.32,2024-07-03,Shipped
105,1064,Monitor,1,598.79,2024-06-07,Cancelled
106,1582,Phone,3,1879.6,2024-02-16,Completed
107,1957,Phone,1,1292.89,2024-08-21,Cancelled
108,1682,Mouse,2,1889.58,2024-02-19,Completed
109,1893,Phone,4,228.14,2024-11-05,Cancelled
110,1324,Tablet,4,177.67,2024-12-30,Shipped
111,1013,Tablet,1,1160.13,2024-10-13,Pending
112,1676,Keyboard,1,416.41,2024-12-26,Shipped
113,1470,Keyboard,1,204.35,2024-12-06,Shipped
114,1918,Monitor,2,299.85,2024-09-29,Cancelled
115,1362,Keyboard,2,1849.12,2024-03-27,Completed
116,1205,Monitor,2,1109.61,2024-07-17,Shipped
117,1689,Monitor,3,244.7,2024-05-09,Completed
118,1385,Keyboard,1,1098.39,2024-08-04,Cancelled
119,1296,Laptop,4,533.27,2024-03-05,Cancelled
120,1100,Mouse,4,1791.87,2024-01-19,Cancelled
121,1963,Tablet,4,288.46,2024-04-17,Cancelled
122,1424,Headphones,2,168.08,2024-03-16,Completed
123,1628,Laptop,3,889.3,2024-05-01,Cancelled
124,1591,Laptop,2,1425.4,2024-04-15,Shipped
125,1832,Monitor,2,1972.5,2024-05-17,Completed
126,1518,Mouse,4,1996.16,2024-01-30,Cancelled
127,1078,Tablet,1,835.83,2024-02-12,Shipped
128,1338,Laptop,1,52.98,2024-11-03,Cancelled
129,1229,Phone,3,1160.36,2024-11-15,Pending
130,1679,Keyboard,3,204.04,2024-01-21,Cancelled
131,1162,Headphones,2,1539.38,2024-08-09,Shipped
132,1256,Keyboard,1,149.44,2024-11-04,Completed
133,1117,Laptop,3,222.57,2024-11-03,Shipped
134,1886,Phone,2,1850.96,2024-12-25,Shipped
135,1815,Keyboard,4,1314.23,2024-05-24,Completed
136,1759,Phone,1,1562.1,2024-04-25,Completed
137,1633,Headphones,4,1332.48,2024-03-16,Completed
138,1478,Headphones,3,1975.9,2024-03-25,Pending
139,1136,Phone,4,600.5,2024-06-16,Pending
140,1224,Laptop,1,598.96,2024-01-24,Shipped
141,1177,Laptop,2,541.88,2024-12-24,Cancelled
142,1177,Laptop,3,298.75,2024-10-21,Pending
143,1020,Tablet,2,1567.01,2024-01-24,Pending
144,1325,Headphones,1,60.81,2024-07-11,Completed
145,1633,Tablet,4,1144.15,2024-08-28,Shipped
146,1190,Tablet,2,1934.81,2024-02-07,Shipped
147,1644,Monitor,2,1119.52,2024-04-16,Completed
148,1689,Tablet,1,1844.79,2024-02-11,Pending
149,1286,Phone,1,1384.26,2024-01-03,Shipped
150,1477,Keyboard,3,948.61,2024-04-19,Completed
151,1180,Mouse,3,553.29,2024-12-16,Cancelled
152,1839,Laptop,3,1795.21,2024-10-11,Pending
